t_s,pending,active,idle
0.0,0.0,0.0,10.0
1.0,0.0,0.0,10.0
2.0,0.0,0.0,10.0
3.0,0.0,0.0,10.0
4.0,0.0,0.0,10.0
5.0,0.0,0.0,10.0
6.0,0.0,0.0,10.0
7.0,0.0,0.0,10.0
8.1,0.0,0.0,10.0
9.1,0.0,0.0,10.0
10.1,0.0,1.0,9.0
11.1,0.0,4.0,6.0
12.1,0.0,5.0,5.0
13.1,3.0,10.0,0.0
14.1,0.0,9.0,1.0
15.1,6.0,10.0,0.0
16.1,0.0,8.0,2.0
17.1,0.0,8.0,2.0
18.1,1.0,10.0,0.0
19.1,4.0,10.0,0.0
20.1,0.0,8.0,2.0
21.1,3.0,10.0,0.0
22.1,5.0,10.0,0.0
23.1,2.0,10.0,0.0
24.2,6.0,10.0,0.0
25.2,1.0,10.0,0.0
26.2,5.0,10.0,0.0
27.2,4.0,10.0,0.0
28.2,2.0,10.0,0.0
29.2,0.0,7.0,3.0
30.2,2.0,10.0,0.0
31.2,1.0,10.0,0.0
32.2,3.0,10.0,0.0
33.2,0.0,9.0,1.0
34.2,0.0,10.0,0.0
35.2,0.0,6.0,4.0
36.2,5.0,10.0,0.0
37.2,0.0,10.0,0.0
38.2,1.0,10.0,0.0
39.3,1.0,10.0,0.0
40.3,6.0,10.0,0.0
41.3,0.0,9.0,1.0
42.3,0.0,10.0,0.0
43.3,0.0,9.0,1.0
44.3,3.0,10.0,0.0
45.3,1.0,10.0,0.0
46.3,1.0,10.0,0.0
47.3,3.0,10.0,0.0
48.3,3.0,10.0,0.0
49.3,1.0,10.0,0.0
50.3,3.0,10.0,0.0
51.3,3.0,10.0,0.0
52.3,2.0,10.0,0.0
53.3,1.0,10.0,0.0
54.4,8.0,10.0,0.0
55.4,0.0,10.0,0.0
56.4,4.0,10.0,0.0
57.4,5.0,10.0,0.0
58.4,4.0,10.0,0.0
59.4,1.0,10.0,0.0
60.4,0.0,10.0,0.0
61.4,0.0,7.0,3.0
62.4,0.0,10.0,0.0
63.4,0.0,10.0,0.0
64.4,4.0,10.0,0.0
65.4,4.0,10.0,0.0
66.4,1.0,10.0,0.0
67.4,3.0,10.0,0.0
68.4,0.0,8.0,2.0
69.5,1.0,10.0,0.0
70.5,3.0,10.0,0.0
71.5,0.0,9.0,1.0
72.5,3.0,10.0,0.0
73.5,3.0,10.0,0.0
74.5,5.0,10.0,0.0
75.5,0.0,8.0,2.0
76.5,6.0,10.0,0.0
77.5,2.0,10.0,0.0
78.5,0.0,8.0,2.0
79.5,2.0,9.0,1.0
80.5,1.0,10.0,0.0
81.5,5.0,10.0,0.0
82.5,4.0,10.0,0.0
83.5,2.0,10.0,0.0
84.5,4.0,10.0,0.0
85.6,1.0,10.0,0.0
86.6,8.0,10.0,0.0
87.6,0.0,9.0,1.0
88.6,2.0,10.0,0.0
89.6,2.0,10.0,0.0
90.6,2.0,10.0,0.0
91.6,1.0,10.0,0.0
92.6,0.0,8.0,2.0
93.6,5.0,10.0,0.0
94.6,2.0,10.0,0.0
95.6,3.0,10.0,0.0
96.6,2.0,10.0,0.0
97.6,0.0,9.0,1.0
98.6,5.0,10.0,0.0
99.6,0.0,0.0,10.0
