t_s,pending,active,idle
0.0,0.0,0.0,2.0
1.0,0.0,0.0,2.0
2.0,0.0,0.0,2.0
3.0,0.0,0.0,2.0
4.0,0.0,0.0,2.0
5.0,0.0,0.0,2.0
6.0,0.0,0.0,2.0
7.0,0.0,0.0,2.0
8.0,0.0,0.0,2.0
9.0,0.0,0.0,2.0
10.0,0.0,0.0,2.0
11.1,0.0,0.0,2.0
12.1,2.0,2.0,0.0
13.1,12.0,2.0,0.0
14.1,31.0,2.0,0.0
15.1,42.0,2.0,0.0
16.1,41.0,2.0,0.0
17.1,40.0,2.0,0.0
18.1,42.0,2.0,0.0
19.1,40.0,2.0,0.0
20.1,41.0,2.0,0.0
21.1,43.0,2.0,0.0
22.1,43.0,2.0,0.0
23.1,42.0,2.0,0.0
24.1,39.0,2.0,0.0
25.1,39.0,2.0,0.0
26.1,40.0,2.0,0.0
27.2,41.0,2.0,0.0
28.2,41.0,2.0,0.0
29.2,41.0,2.0,0.0
30.2,41.0,2.0,0.0
31.2,40.0,2.0,0.0
32.2,41.0,2.0,0.0
33.2,41.0,2.0,0.0
34.2,40.0,2.0,0.0
35.2,40.0,2.0,0.0
36.2,39.0,2.0,0.0
37.2,41.0,2.0,0.0
38.2,40.0,2.0,0.0
39.2,40.0,2.0,0.0
40.2,40.0,2.0,0.0
41.2,42.0,2.0,0.0
42.2,41.0,2.0,0.0
43.2,42.0,2.0,0.0
44.2,38.0,2.0,0.0
45.3,39.0,2.0,0.0
46.3,40.0,2.0,0.0
47.3,39.0,2.0,0.0
48.3,39.0,2.0,0.0
49.3,39.0,2.0,0.0
50.3,41.0,2.0,0.0
51.3,39.0,2.0,0.0
52.3,40.0,2.0,0.0
53.3,41.0,2.0,0.0
54.3,38.0,2.0,0.0
55.3,40.0,2.0,0.0
56.3,41.0,2.0,0.0
57.3,41.0,2.0,0.0
58.3,39.0,2.0,0.0
59.3,41.0,2.0,0.0
60.3,39.0,2.0,0.0
61.3,41.0,2.0,0.0
62.4,40.0,2.0,0.0
63.4,41.0,2.0,0.0
64.4,38.0,2.0,0.0
65.4,42.0,2.0,0.0
66.4,38.0,2.0,0.0
67.4,41.0,2.0,0.0
68.4,43.0,2.0,0.0
69.4,41.0,2.0,0.0
70.4,42.0,2.0,0.0
71.4,40.0,2.0,0.0
72.4,40.0,2.0,0.0
73.4,39.0,2.0,0.0
74.4,41.0,2.0,0.0
75.4,39.0,2.0,0.0
76.4,39.0,2.0,0.0
77.4,41.0,2.0,0.0
78.4,41.0,2.0,0.0
79.4,39.0,2.0,0.0
80.4,38.0,2.0,0.0
81.5,41.0,2.0,0.0
82.5,40.0,2.0,0.0
83.5,39.0,2.0,0.0
84.5,41.0,2.0,0.0
85.5,39.0,2.0,0.0
86.5,40.0,2.0,0.0
87.5,39.0,2.0,0.0
88.5,40.0,2.0,0.0
89.5,41.0,2.0,0.0
90.5,42.0,2.0,0.0
91.5,39.0,2.0,0.0
92.5,38.0,2.0,0.0
93.5,39.0,2.0,0.0
94.5,41.0,2.0,0.0
95.5,39.0,2.0,0.0
96.5,40.0,2.0,0.0
97.5,38.0,2.0,0.0
98.5,41.0,2.0,0.0
99.5,38.0,2.0,0.0
