t_s,pending,active,idle
0.0,0.0,13.0,7.0
1.0,0.0,9.0,11.0
2.1,0.0,7.0,13.0
3.1,0.0,7.0,13.0
4.1,0.0,9.0,11.0
5.1,0.0,10.0,10.0
6.1,0.0,12.0,8.0
7.1,0.0,8.0,12.0
8.2,0.0,10.0,10.0
9.2,0.0,11.0,9.0
10.2,0.0,14.0,6.0
11.3,0.0,8.0,12.0
12.3,0.0,9.0,11.0
13.3,0.0,11.0,10.0
14.3,0.0,12.0,8.0
15.3,0.0,14.0,6.0
16.4,0.0,13.0,7.0
17.4,0.0,16.0,4.0
18.4,0.0,15.0,5.0
19.4,0.0,10.0,10.0
20.5,0.0,11.0,9.0
21.5,0.0,16.0,5.0
22.5,0.0,8.0,12.0
23.5,0.0,10.0,10.0
24.5,0.0,13.0,7.0
25.5,0.0,11.0,9.0
26.5,0.0,10.0,10.0
27.5,0.0,5.0,15.0
28.6,0.0,14.0,6.0
29.6,0.0,10.0,10.0
30.6,0.0,10.0,10.0
31.6,0.0,12.0,8.0
32.6,0.0,8.0,12.0
33.6,0.0,15.0,5.0
34.7,0.0,12.0,8.0
35.7,0.0,12.0,8.0
36.7,0.0,7.0,13.0
37.7,0.0,10.0,10.0
38.7,0.0,11.0,9.0
39.7,0.0,9.0,11.0
40.7,0.0,15.0,5.0
41.7,0.0,7.0,13.0
42.8,0.0,14.0,6.0
43.8,0.0,9.0,11.0
44.8,0.0,0.0,20.0
45.8,0.0,0.0,20.0
46.8,0.0,0.0,20.0
47.8,0.0,0.0,20.0
48.8,0.0,0.0,20.0
49.8,0.0,2.0,18.0
50.9,0.0,1.0,19.0
51.9,0.0,9.0,11.0
52.9,0.0,11.0,9.0
53.9,0.0,12.0,8.0
54.9,0.0,6.0,14.0
55.9,0.0,10.0,10.0
56.9,0.0,11.0,9.0
57.9,0.0,10.0,10.0
59.0,0.0,12.0,8.0
60.0,0.0,13.0,7.0
61.0,0.0,9.0,11.0
62.0,0.0,8.0,12.0
63.0,0.0,10.0,10.0
64.0,0.0,8.0,12.0
65.0,0.0,10.0,10.0
66.0,0.0,5.0,15.0
67.0,0.0,8.0,12.0
68.0,0.0,9.0,11.0
69.1,0.0,10.0,10.0
70.1,0.0,10.0,10.0
71.1,0.0,5.0,15.0
72.1,0.0,7.0,13.0
73.1,0.0,10.0,10.0
74.1,0.0,18.0,2.0
75.1,0.0,13.0,7.0
76.1,0.0,9.0,11.0
77.2,0.0,11.0,9.0
78.2,0.0,7.0,13.0
79.2,0.0,14.0,6.0
80.2,0.0,8.0,12.0
81.2,0.0,14.0,6.0
82.2,0.0,13.0,7.0
83.2,0.0,11.0,9.0
84.2,0.0,11.0,9.0
85.2,0.0,7.0,13.0
86.3,0.0,6.0,14.0
87.3,0.0,12.0,8.0
88.3,0.0,11.0,9.0
89.3,0.0,10.0,10.0
90.3,0.0,15.0,5.0
91.3,0.0,14.0,6.0
92.3,0.0,8.0,12.0
93.3,0.0,9.0,11.0
94.3,0.0,11.0,9.0
95.3,0.0,14.0,6.0
96.3,0.0,14.0,6.0
97.3,0.0,8.0,12.0
98.4,0.0,10.0,10.0
99.4,0.0,9.0,11.0
